project_key,project_code,line_name,section_label,report_date,source_file,source_sheet,configured_sheet,template_sheet,header_row_number,source_row_number,activity_raw,activity_norm,quantity_loa,quantity_estimated_or_total,quantity_primary,cumulative_last_month,plan_for_month,progress_for_month,today_progress,cumulative_progress,balance_progress,gangs_working,remarks
TB408,TB 408,,Project Name-,2026-06-01,TB 408 - DPR - 2026-06-01.xlsx,Progress Summary,Progress Summary,TB 408 Status,4,10,"Paying Out 
(Kms)",paying_out,,191.392,191.392,125.953,25.0,,,125.953,31.67299999999999,2,AP12-13:- WIP.
TB408,TB 408,,Project Name-,2026-06-01,TB 408 - DPR - 2026-06-01.xlsx,Progress Summary,Progress Summary,TB 408 Status,4,11,"Final Sag 
(Kms)",final_sag,,191.392,191.392,125.9367,25.0,,,125.9367,31.6893,,"AP11A-12:- Completed
AP12-13:- WIP."
TB408,TB 408,,Project Name-,2026-06-01,TB 408 - DPR - 2026-06-01.xlsx,Progress Summary,Progress Summary,TB 408 Status,4,12,"OPGW 
(Kms)",opgw_stringing,,191.392,191.392,88.466,30.0,,,88.466,69.16,,
TB501,TB 501,,220kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,6,14,Stringing,stringing,,,,,,0.0,,,,,"32/0-33/0 Stringing WIP, Final checking Stringing WIP"
TB501,TB 501,,220kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,6,15,Paying Out,paying_out,,64.0,64.0,61.2,2.799999999999997,0.9516129999999876,0.0,62.15161299999999,1.84838700000001,0.0,
TB501,TB 501,,220kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,6,16,Final Sag,final_sag,,64.0,64.0,61.2,2.799999999999997,0.9516129999999876,0.0,62.15161299999999,1.84838700000001,,
TB501,TB 501,,220kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,6,17,OPGW,opgw_stringing,,64.0,64.0,53.721835,10.278165,10.38895099999999,0.0,64.11078599999999,-0.1107859999999903,0.0,
TB501,TB 501,,132kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,20,28,Stringing,stringing,,,,,,,,,,,
TB501,TB 501,,132kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,20,29,Paying Out,paying_out,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,1.0,
TB501,TB 501,,132kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,20,30,Final Sag,final_sag,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,
TB501,TB 501,,132kV Line,2026-06-08,TB 501 - DPR - 2026-06-08.xlsx,Summary,Summary,TB 501 Status,20,31,OPGW,opgw_stringing,,9.24,9.24,0.0,9.0,6.231326,0.0,6.231326,3.008674,0.0,
TB501,TB 501,,220kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,6,14,Stringing,stringing,,,,,,0.0,,,,,"32/0-33/0-33/1 all Phase Final sag complet , Final checking Stringing WIP"
TB501,TB 501,,220kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,6,15,Paying Out,paying_out,,64.0,64.0,61.2,2.799999999999997,1.568100999999992,0.0,62.76810099999999,1.231899000000006,0.0,
TB501,TB 501,,220kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,6,16,Final Sag,final_sag,,64.0,64.0,61.2,2.799999999999997,1.568100999999992,0.0,62.76810099999999,1.231899000000006,,
TB501,TB 501,,220kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,6,17,OPGW,opgw_stringing,,64.0,64.0,53.721835,10.278165,9.517265999999992,0.0,63.23910099999999,0.7608990000000091,0.0,
TB501,TB 501,,132kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,20,28,Stringing,stringing,,,,,,,,,,,
TB501,TB 501,,132kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,20,29,Paying Out,paying_out,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,1.0,
TB501,TB 501,,132kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,20,30,Final Sag,final_sag,,9.24,9.24,6.231,3.009,0.0003260000000002705,0.0,6.231326,3.008674,,
TB501,TB 501,,132kV Line,2026-06-09,TB 501 - DPR - 2026-06-09.xlsx,Summary,Summary,TB 501 Status,20,31,OPGW,opgw_stringing,,9.24,9.24,0.0,9.0,6.231326,0.0,6.231326,3.008674,0.0,
TB501,TB 501,,220kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,6,14,Stringing,stringing,,,,,,0.0,,,,,"8C/0 to 8D/3 Stringing final checking done, 33/1 Jumper done"
TB501,TB 501,,220kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,6,15,Paying Out,paying_out,,64.0,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,0.0,
TB501,TB 501,,220kV Line,2026-06-13,TB 501 - DPR - 2026-06-13.xlsx,Summary,Summary,TB 501 Status,6,16,Final Sag,final_sag,,64.0,64.0,61.2,2.799999999999997,1.775100999999992,0.0,62.975101,1.024899000000005,,
